Anos,LAMBDA,PRM,RMF,RD,mean,std,cr0,cr1,cr2,cr3,Re_real,Re_spread
10PRM30,TRUE,FALSE,FALSE,FALSE,219.78,887.18,131.06,308.5,485.94,663.37,792.3,303.44
10PRM30,TRUE,FALSE,FALSE,FALSE,223.07,885.23,134.55,311.6,488.64,665.69,797.84,307.93
10PRM30,TRUE,FALSE,FALSE,FALSE,224.18,884.04,135.78,312.59,489.39,666.2,798.52,309.04
10PRM30,TRUE,FALSE,FALSE,FALSE,215.52,877.72,127.74,303.29,478.83,654.38,787.61,298.3
10PRM30,TRUE,FALSE,FALSE,FALSE,228.44,883.71,140.06,316.81,493.55,670.29,804.34,314.54
10PRM30,TRUE,FALSE,FALSE,FALSE,218.61,886.79,129.93,307.29,484.65,662.01,791.15,302.09
10PRM30,TRUE,FALSE,FALSE,FALSE,219.55,884.63,131.08,308.01,484.93,661.86,794.74,303.85
10PRM30,TRUE,FALSE,FALSE,FALSE,224.7,887.45,135.95,313.44,490.93,668.42,798.65,309.74
10PRM30,TRUE,FALSE,FALSE,FALSE,225.79,882.34,137.56,314.03,490.5,666.97,801,311.32
10PRM30,TRUE,FALSE,FALSE,FALSE,216.37,887.39,127.63,305.1,482.58,660.06,787.87,299.2
30,TRUE,FALSE,FALSE,FALSE,430.93,909.76,339.95,521.9,703.85,885.81,1056.96,567.77
30,TRUE,FALSE,FALSE,FALSE,431.38,903.2,341.06,521.7,702.33,882.97,1055.96,567.99
30,TRUE,FALSE,FALSE,FALSE,436.91,910.51,345.86,527.96,710.06,892.16,1062.66,574.91
30,TRUE,FALSE,FALSE,FALSE,430.06,908.95,339.16,520.95,702.74,884.53,1056.04,566.64
30,TRUE,FALSE,FALSE,FALSE,424.98,905.38,334.44,515.51,696.59,877.66,1049.21,560.27
30,TRUE,FALSE,FALSE,FALSE,444.18,907.08,353.48,534.89,716.31,897.73,1072.55,584.11
30,TRUE,FALSE,FALSE,FALSE,439.16,906.24,348.53,529.78,711.03,892.28,1066.28,577.77
30,TRUE,FALSE,FALSE,FALSE,437.54,909.51,346.59,528.49,710.4,892.3,1066.03,576.24
30,TRUE,FALSE,FALSE,FALSE,439.22,908.49,348.37,530.07,711.77,893.47,1065.94,577.89
30,TRUE,FALSE,FALSE,FALSE,437.73,905.89,347.14,528.32,709.5,890.67,1063.85,575.89
20,TRUE,FALSE,FALSE,FALSE,293.55,757.28,217.83,369.28,520.74,672.2,884.48,395.74
20,TRUE,FALSE,FALSE,FALSE,296.78,760.74,220.71,372.86,525.01,677.16,887.01,399.69
20,TRUE,FALSE,FALSE,FALSE,290.95,764.62,214.49,367.42,520.34,673.26,880.62,392.5
20,TRUE,FALSE,FALSE,FALSE,301.36,760.21,225.34,377.38,529.42,681.46,895.63,405.81
20,TRUE,FALSE,FALSE,FALSE,291.49,758.9,215.6,367.39,519.17,670.95,882.25,393.25
20,TRUE,FALSE,FALSE,FALSE,293.35,756.57,217.69,369.01,520.32,671.63,884.65,395.77
20,TRUE,FALSE,FALSE,FALSE,300.61,759.24,224.69,376.53,528.38,680.23,892.7,404.37
20,TRUE,FALSE,FALSE,FALSE,297.74,758.93,221.85,373.63,525.42,677.21,888.67,400.95
20,TRUE,FALSE,FALSE,FALSE,299.9,754.54,224.45,375.36,526.26,677.17,894.04,404.21
20,TRUE,FALSE,FALSE,FALSE,302.49,755.1,226.98,378,529.02,680.04,895.34,407
10,TRUE,FALSE,FALSE,FALSE,471.86,699.65,401.89,541.82,681.75,821.68,1108.82,618.94
10,TRUE,FALSE,FALSE,FALSE,464.45,703.25,394.13,534.78,675.43,816.08,1098.08,609.5
10,TRUE,FALSE,FALSE,FALSE,470.81,701.8,400.63,540.99,681.35,821.71,1106.99,617.76
10,TRUE,FALSE,FALSE,FALSE,468.93,702.88,398.64,539.21,679.79,820.36,1103.38,615.18
10,TRUE,FALSE,FALSE,FALSE,463.92,704.69,393.45,534.38,675.32,816.26,1097.25,608.93
10,TRUE,FALSE,FALSE,FALSE,464.88,704.43,394.43,535.32,676.2,817.09,1099.2,610.12
10,TRUE,FALSE,FALSE,FALSE,471.55,702.89,401.26,541.84,682.41,822.99,1107.58,618.51
10,TRUE,FALSE,FALSE,FALSE,467.78,700.95,397.68,537.87,678.06,818.25,1101.47,613.56
10,TRUE,FALSE,FALSE,FALSE,464.54,704.08,394.14,534.95,675.77,816.59,1100.25,609.79
10,TRUE,FALSE,FALSE,FALSE,467.79,705.17,397.27,538.31,679.34,820.38,1100.73,613.41
30,TRUE,FALSE,FALSE,FALSE,423.62,906.96,332.93,514.32,695.71,877.1,1047.36,558.72
30,TRUE,FALSE,FALSE,FALSE,430.31,909.22,339.38,521.23,703.07,884.92,1057.59,567.29
10PRM30,TRUE,FALSE,FALSE,FALSE,226.31,883.61,137.95,314.68,491.4,668.12,799.81,311.64
10PRM30,TRUE,FALSE,FALSE,FALSE,218.49,879.82,130.51,306.47,482.44,658.4,790.91,302.11
20,TRUE,FALSE,FALSE,FALSE,298.89,755.33,223.35,374.42,525.48,676.55,890.85,402.56
30,TRUE,FALSE,FALSE,FALSE,437.74,907.06,347.04,528.45,709.86,891.27,1063.68,575.97
10PRM30,TRUE,FALSE,FALSE,FALSE,229.35,883.9,140.96,317.74,494.52,671.3,803.67,315.51
10PRM30,TRUE,FALSE,FALSE,FALSE,228.14,884.68,139.67,316.61,493.54,670.48,803.88,314.22
30,TRUE,FALSE,FALSE,FALSE,428.5,906.99,337.8,519.2,700.6,882,1054.71,564.74
20,TRUE,FALSE,FALSE,FALSE,294.88,758.67,219.01,370.75,522.48,674.22,887.81,397.69
10,TRUE,FALSE,FALSE,FALSE,465.01,703.13,394.69,535.32,675.94,816.57,1099.54,610.21
30,TRUE,FALSE,FALSE,FALSE,433.78,903.93,343.38,524.17,704.95,885.74,1059.86,571.23
20,TRUE,FALSE,FALSE,FALSE,292.89,762.56,216.63,369.15,521.66,674.17,885.5,395.32
10,TRUE,FALSE,FALSE,FALSE,475.52,704.08,405.12,545.93,686.75,827.56,1111.94,623.3
30,TRUE,FALSE,FALSE,FALSE,435.77,905.47,345.23,526.32,707.41,888.51,1063.54,573.77
30,TRUE,FALSE,FALSE,FALSE,425.22,910.61,334.16,516.28,698.4,880.53,1048.13,560.24
10,TRUE,FALSE,FALSE,FALSE,455.2,705.69,384.63,525.77,666.91,808.05,1089.11,598.37
20,TRUE,FALSE,FALSE,FALSE,294.35,756.25,218.73,369.98,521.23,672.48,885.9,396.89
30,TRUE,FALSE,FALSE,FALSE,443.55,903.04,353.25,533.85,714.46,895.07,1070.84,583.14
20,TRUE,FALSE,FALSE,FALSE,309.86,752.58,234.61,385.12,535.64,686.15,905.59,416.39
10,TRUE,FALSE,FALSE,FALSE,469.93,697.97,400.13,539.72,679.32,818.91,1105.03,616.5
10PRM30,TRUE,FALSE,FALSE,FALSE,218.55,887.98,129.75,307.35,484.94,662.54,790.18,301.67
10,TRUE,FALSE,FALSE,FALSE,466.87,703.57,396.51,537.22,677.94,818.65,1101.8,612.72
30,TRUE,FALSE,FALSE,FALSE,427.21,910.49,336.16,518.26,700.36,882.46,1052.67,563.26
10,TRUE,FALSE,FALSE,FALSE,470.13,701.85,399.95,540.32,680.69,821.06,1106.79,616.81
10,TRUE,FALSE,FALSE,FALSE,462.99,700.04,392.99,533,673.01,813.02,1096.42,607.72
10,TRUE,FALSE,FALSE,FALSE,465.57,702.78,395.3,535.85,676.41,816.96,1099.81,611
10PRM30,TRUE,FALSE,FALSE,FALSE,229.5,885.37,140.97,318.04,495.11,672.19,803.93,315.51
30,TRUE,FALSE,FALSE,FALSE,428.62,906.46,337.97,519.26,700.56,881.85,1054.01,564.93
10,TRUE,FALSE,FALSE,FALSE,468.48,702.7,398.21,538.75,679.29,819.83,1102.98,614.49
10PRM30,TRUE,FALSE,FALSE,FALSE,234.03,878.13,146.22,321.85,497.47,673.1,810.55,321.47
10,TRUE,FALSE,FALSE,FALSE,473.75,702.1,403.54,543.96,684.38,824.8,1111.07,621.2
10PRM30,TRUE,FALSE,FALSE,FALSE,228.26,883.74,139.89,316.63,493.38,670.13,802.45,314.08
10,TRUE,FALSE,FALSE,FALSE,467.94,705.24,397.42,538.47,679.51,820.56,1101.69,613.72
10,TRUE,FALSE,FALSE,FALSE,464.56,706.79,393.88,535.24,676.6,817.96,1099.48,609.8
20,TRUE,FALSE,FALSE,FALSE,291.17,757.55,215.41,366.92,518.43,669.94,883.72,393.24
10,TRUE,FALSE,FALSE,FALSE,467.47,705.86,396.88,538.05,679.22,820.4,1101.03,613.11
20,TRUE,FALSE,FALSE,FALSE,303.1,757.84,227.32,378.89,530.45,682.02,896.12,407.69
20,TRUE,FALSE,FALSE,FALSE,295.47,755.42,219.93,371.01,522.1,673.18,889.33,398.64
30,TRUE,FALSE,FALSE,FALSE,437.51,910.12,346.49,528.52,710.54,892.57,1064.45,575.74
10,TRUE,FALSE,FALSE,FALSE,463.81,704,393.41,534.21,675.01,815.81,1099.57,609.22
30,TRUE,FALSE,FALSE,FALSE,434.85,905.36,344.31,525.38,706.46,887.53,1061.71,572.51
10PRM30,TRUE,FALSE,FALSE,FALSE,236.62,889.72,147.65,325.6,503.54,681.48,812.71,324.44
10PRM30,TRUE,FALSE,FALSE,FALSE,228.19,878.85,140.31,316.08,491.84,667.61,802.93,314.22
30,TRUE,FALSE,FALSE,FALSE,437.43,911.39,346.29,528.57,710.85,893.13,1064.77,575.79
20,TRUE,FALSE,FALSE,FALSE,290.43,758.51,214.58,366.28,517.98,669.68,878.39,391.5
10PRM30,TRUE,FALSE,FALSE,FALSE,230.15,887.39,141.41,318.89,496.36,673.84,806.21,316.54
