LAMBDA,PRM,RMF,RD,mean,std,cr0,cr1,cr2,cr3
FALSE,FALSE,FALSE,FALSE,56.77,884.85,-31.72,145.25,322.22,499.19
FALSE,FALSE,FALSE,FALSE,51.01,884.29,-37.41,139.44,316.3,493.16
TRUE,TRUE,TRUE,TRUE,456.39,706.63,456.39,456.39,809.71,1163.03
TRUE,TRUE,FALSE,TRUE,460.44,706.91,389.75,531.13,672.51,813.9
FALSE,TRUE,FALSE,FALSE,292.33,704.73,221.86,362.8,503.75,644.7
FALSE,TRUE,FALSE,TRUE,276.75,704.86,206.27,347.24,488.21,629.18
TRUE,FALSE,FALSE,TRUE,216.54,889.43,127.59,305.48,483.37,661.25
TRUE,TRUE,TRUE,FALSE,462.17,702.77,462.17,462.17,813.56,1164.94
FALSE,TRUE,FALSE,FALSE,296.4,700.51,226.35,366.45,506.55,646.65
TRUE,FALSE,FALSE,TRUE,217.83,883.63,129.47,306.2,482.92,659.65
TRUE,FALSE,TRUE,FALSE,230.47,883.11,230.47,230.47,672.03,1113.58
FALSE,FALSE,TRUE,TRUE,43.44,880.3,43.44,43.44,483.6,923.75
FALSE,TRUE,FALSE,TRUE,281.72,702.58,211.47,351.98,492.5,633.01
FALSE,TRUE,FALSE,FALSE,294.83,701.86,224.65,365.02,505.39,645.77
TRUE,FALSE,TRUE,FALSE,217.99,886.89,217.99,217.99,661.44,1104.89
TRUE,TRUE,TRUE,FALSE,466.98,700.86,466.98,466.98,817.41,1167.84
TRUE,FALSE,TRUE,TRUE,216.65,887.31,216.65,216.65,660.3,1103.96
FALSE,TRUE,TRUE,TRUE,282.79,704.88,282.79,282.79,635.23,987.67
TRUE,TRUE,FALSE,FALSE,469.16,699.93,399.16,539.15,679.13,819.12
TRUE,TRUE,FALSE,TRUE,456.78,703.46,386.44,527.13,667.82,808.51
TRUE,FALSE,TRUE,FALSE,224.34,878.11,224.34,224.34,663.4,1102.45
TRUE,FALSE,TRUE,FALSE,219.22,885.69,219.22,219.22,662.07,1104.91
TRUE,TRUE,TRUE,TRUE,445.07,704.44,445.07,445.07,797.29,1149.51
TRUE,TRUE,TRUE,TRUE,459.01,704.34,459.01,459.01,811.18,1163.35
FALSE,FALSE,TRUE,FALSE,53.39,884.46,53.39,53.39,495.62,937.85
TRUE,TRUE,TRUE,FALSE,463.13,702.52,463.13,463.13,814.39,1165.65
FALSE,TRUE,TRUE,TRUE,279.41,707.33,279.41,279.41,633.07,986.73
TRUE,TRUE,TRUE,TRUE,454.64,702.23,454.64,454.64,805.75,1156.86
FALSE,FALSE,FALSE,TRUE,36.05,885.25,-52.48,124.57,301.62,478.67
FALSE,FALSE,FALSE,TRUE,47.69,887.01,-41.01,136.39,313.8,491.2
FALSE,TRUE,FALSE,FALSE,289.26,704.48,218.81,359.71,500.6,641.5
FALSE,TRUE,TRUE,FALSE,288.17,701.81,288.17,288.17,639.07,989.98
TRUE,TRUE,TRUE,FALSE,468.08,702.52,468.08,468.08,819.34,1170.6
FALSE,TRUE,TRUE,FALSE,291.96,698.33,291.96,291.96,641.13,990.29
TRUE,TRUE,TRUE,FALSE,473.98,704.07,473.98,473.98,826.01,1178.04
FALSE,FALSE,FALSE,TRUE,57.78,881.21,-30.34,145.91,322.15,498.39
TRUE,FALSE,FALSE,FALSE,220.53,882.56,132.27,308.79,485.3,661.81
FALSE,FALSE,TRUE,FALSE,56.83,883.25,56.83,56.83,498.45,940.08
TRUE,FALSE,TRUE,FALSE,218.8,889.37,218.8,218.8,663.48,1108.16
FALSE,TRUE,TRUE,TRUE,281.29,701.48,281.29,281.29,632.03,982.77
FALSE,TRUE,TRUE,TRUE,283.23,701.23,283.23,283.23,633.85,984.46
FALSE,FALSE,TRUE,FALSE,55.16,884.51,55.16,55.16,497.41,939.67
TRUE,TRUE,FALSE,FALSE,467.83,700.81,397.75,537.91,678.07,818.23
FALSE,FALSE,FALSE,TRUE,47.82,884.74,-40.66,136.29,313.24,490.18
TRUE,FALSE,TRUE,FALSE,231.89,887.4,231.89,231.89,675.59,1119.29
FALSE,FALSE,FALSE,TRUE,43.25,883.14,-45.06,131.57,308.2,484.82
FALSE,TRUE,TRUE,FALSE,288.9,703.93,288.9,288.9,640.86,992.82
TRUE,TRUE,TRUE,TRUE,465.14,707.39,465.14,465.14,818.83,1172.53
FALSE,TRUE,FALSE,FALSE,289.65,701.06,219.55,359.76,499.97,640.19
TRUE,FALSE,FALSE,FALSE,230.93,882.67,142.66,319.19,495.73,672.26
FALSE,TRUE,FALSE,TRUE,280.05,704.3,209.62,350.48,491.34,632.2
TRUE,FALSE,TRUE,TRUE,214.73,881.86,214.73,214.73,655.67,1096.6
FALSE,FALSE,TRUE,FALSE,53.9,883.95,53.9,53.9,495.88,937.86
FALSE,TRUE,FALSE,TRUE,280.52,705.48,209.97,351.07,492.16,633.26
FALSE,TRUE,FALSE,FALSE,287.04,696.81,217.36,356.72,496.08,635.45
TRUE,FALSE,TRUE,TRUE,218.71,885.69,218.71,218.71,661.55,1104.4
FALSE,FALSE,TRUE,TRUE,49.55,885.44,49.55,49.55,492.27,934.99
TRUE,TRUE,FALSE,FALSE,475.57,704.37,405.13,546.01,686.88,827.76
TRUE,FALSE,TRUE,TRUE,215.75,887.06,215.75,215.75,659.28,1102.81
TRUE,TRUE,FALSE,TRUE,455.07,708.09,384.26,525.88,667.49,809.11
FALSE,FALSE,FALSE,FALSE,40.13,881.1,-47.98,128.24,304.46,480.69
TRUE,FALSE,FALSE,FALSE,228.33,888.1,139.52,317.14,494.76,672.38
TRUE,FALSE,FALSE,TRUE,217.61,883.53,129.25,305.96,482.67,659.37
FALSE,FALSE,TRUE,FALSE,57.28,879.95,57.28,57.28,497.25,937.23
FALSE,TRUE,FALSE,FALSE,284.2,699.32,214.26,354.13,493.99,633.86
FALSE,TRUE,TRUE,TRUE,278.12,707.08,278.12,278.12,631.66,985.2
TRUE,TRUE,FALSE,FALSE,467.36,703.05,397.06,537.67,678.28,818.89
FALSE,FALSE,FALSE,FALSE,55.84,876.9,-31.85,143.53,318.91,494.29
TRUE,FALSE,TRUE,FALSE,222.72,889.02,222.72,222.72,667.23,1111.74
TRUE,FALSE,FALSE,TRUE,203.33,885.54,114.77,291.88,468.99,646.1
TRUE,FALSE,FALSE,TRUE,218.88,886.89,130.19,307.57,484.95,662.33
TRUE,FALSE,FALSE,TRUE,215.18,886.38,126.55,303.82,481.1,658.37
TRUE,FALSE,TRUE,FALSE,216.45,887.35,216.45,216.45,660.12,1103.8
TRUE,FALSE,FALSE,TRUE,214.02,887.54,125.27,302.78,480.28,657.79
TRUE,FALSE,FALSE,FALSE,234.91,881.39,146.77,323.05,499.32,675.6
TRUE,FALSE,TRUE,TRUE,220.56,884.69,220.56,220.56,662.91,1105.26
TRUE,FALSE,TRUE,TRUE,219.01,890.21,219.01,219.01,664.11,1109.22
FALSE,FALSE,TRUE,TRUE,40.74,886.18,40.74,40.74,483.83,926.92
FALSE,TRUE,FALSE,TRUE,278.68,708.38,207.84,349.51,491.19,632.87
FALSE,TRUE,FALSE,FALSE,295.66,698.5,225.81,365.51,505.21,644.91
FALSE,TRUE,TRUE,TRUE,279.61,702.52,279.61,279.61,630.87,982.13
TRUE,FALSE,FALSE,TRUE,226.3,887.59,137.54,315.06,492.58,670.1
FALSE,FALSE,TRUE,TRUE,44.58,890.49,44.58,44.58,489.82,935.07
TRUE,FALSE,TRUE,TRUE,226.71,885.25,226.71,226.71,669.34,1111.96
TRUE,FALSE,FALSE,TRUE,221.45,883.87,133.07,309.84,486.61,663.39
FALSE,FALSE,FALSE,TRUE,36.39,881.51,-51.76,124.54,300.85,477.15
FALSE,TRUE,TRUE,FALSE,295.07,697.76,295.07,295.07,643.95,992.83
TRUE,FALSE,FALSE,FALSE,220.13,885.45,131.59,308.68,485.77,662.86
FALSE,TRUE,FALSE,FALSE,296.7,704.41,226.26,367.14,508.03,648.91
FALSE,TRUE,TRUE,TRUE,287.32,702.58,287.32,287.32,638.61,989.91
FALSE,FALSE,TRUE,TRUE,35.29,887.95,35.29,35.29,479.27,923.25
FALSE,TRUE,TRUE,FALSE,295.49,696.97,295.49,295.49,643.97,992.46
TRUE,TRUE,TRUE,FALSE,466.93,697.99,466.93,466.93,815.92,1164.92
TRUE,FALSE,TRUE,FALSE,221.8,889.04,221.8,221.8,666.32,1110.84
TRUE,FALSE,TRUE,FALSE,226.09,888.84,226.09,226.09,670.51,1114.93
TRUE,FALSE,TRUE,FALSE,232.91,882.02,232.91,232.91,673.92,1114.93
TRUE,TRUE,TRUE,FALSE,466.02,702.09,466.02,466.02,817.07,1168.11
TRUE,TRUE,TRUE,FALSE,465.12,704.27,465.12,465.12,817.25,1169.38
FALSE,FALSE,FALSE,TRUE,44.53,892.9,-44.76,133.82,312.4,490.98
FALSE,TRUE,TRUE,FALSE,287.64,701.74,287.64,287.64,638.51,989.38
TRUE,TRUE,FALSE,TRUE,458.88,704.19,388.46,529.3,670.13,810.97
FALSE,TRUE,FALSE,TRUE,282.64,705.98,212.04,353.24,494.44,635.63
TRUE,TRUE,TRUE,TRUE,458.58,708.19,458.58,458.58,812.67,1166.77
TRUE,FALSE,FALSE,FALSE,238.77,881.59,150.61,326.93,503.24,679.56
FALSE,TRUE,FALSE,TRUE,277.02,704.46,206.57,347.47,488.36,629.25
FALSE,FALSE,FALSE,FALSE,52.65,880.77,-35.43,140.73,316.88,493.03
TRUE,TRUE,FALSE,FALSE,463.51,705.7,392.94,534.08,675.22,816.36
FALSE,FALSE,FALSE,FALSE,49.53,884.15,-38.89,137.94,314.77,491.6
FALSE,TRUE,TRUE,FALSE,282.61,698.74,282.61,282.61,631.98,981.35
FALSE,TRUE,TRUE,TRUE,288.42,703.54,288.42,288.42,640.19,991.96
FALSE,FALSE,TRUE,FALSE,64.24,875.67,64.24,64.24,502.07,939.91
TRUE,FALSE,FALSE,FALSE,232.4,886.9,143.71,321.09,498.47,675.85
TRUE,TRUE,TRUE,TRUE,463.36,705.18,463.36,463.36,815.95,1168.54
TRUE,TRUE,FALSE,TRUE,460.65,709.25,389.72,531.57,673.42,815.27
TRUE,TRUE,FALSE,TRUE,459.94,704.44,389.49,530.38,671.27,812.16
TRUE,TRUE,FALSE,FALSE,467.37,702.76,397.1,537.65,678.2,818.75
FALSE,TRUE,TRUE,FALSE,295.24,704.09,295.24,295.24,647.29,999.33
TRUE,TRUE,FALSE,FALSE,467.96,701.92,397.77,538.16,678.54,818.93
FALSE,TRUE,FALSE,FALSE,294.59,702.2,224.37,364.81,505.25,645.69
FALSE,FALSE,FALSE,TRUE,36.8,881.82,-51.38,124.99,301.35,477.71
FALSE,TRUE,TRUE,FALSE,290.97,702.67,290.97,290.97,642.3,993.64
TRUE,TRUE,TRUE,FALSE,464.81,706.32,464.81,464.81,817.97,1171.13
FALSE,TRUE,FALSE,FALSE,290.99,701.05,220.89,361.1,501.31,641.52
TRUE,FALSE,TRUE,FALSE,227.79,881.37,227.79,227.79,668.48,1109.16
FALSE,TRUE,FALSE,FALSE,289.35,697.72,219.58,359.12,498.67,638.21
TRUE,FALSE,TRUE,TRUE,225.55,885.79,225.55,225.55,668.44,1111.34
FALSE,FALSE,FALSE,TRUE,44.91,885.76,-43.66,133.49,310.64,487.79
FALSE,TRUE,TRUE,FALSE,289.87,700.77,289.87,289.87,640.25,990.63
TRUE,TRUE,TRUE,TRUE,453.72,708.64,453.72,453.72,808.04,1162.36
TRUE,FALSE,TRUE,FALSE,229.12,886.86,229.12,229.12,672.55,1115.98
